TechnicalName,ObservedEfficacy,Lower,Upper,PredictedEfficacy,Lower_Pred,Upper_Pred,Strains
2CoronaVac+1BNT162b2,63.6,62.8,64.3,61,29.7,92.3,GD=23.23
2CoronaVac+1ChAdOx1,86,74,93,79.24,53.55,104.94,GD=10.83
