TechnicalName,ObservedEfficacy,Lower,Upper,PredictedEfficacy,Lower_Pred,Upper_Pred,Strains
2CoronaVac+1AerosolizedAd5-nCoV,39.03,30.24,47.83,59.12,30.72,87.53,GD=17
2CoronaVac+1Ad5-nCoV,33.44,23.97,42.9,32.62,4.34,60.9,GD=17
3CoroaVac,9.87,2.29,17.45,7.04,-21.49,35.58,GD=17
