TechnicalName,ObservedEfficacy,Lower,Upper,PredictedEfficacy,Lower_Pred,Upper_Pred,Strains
2ChAdOx1nCoV-19+1BNT162b2,94.3,93.8,94.8,94.46,91.53,97.4,Delta
2CoronaVac+1BNT162b2,96.5,96.2,96.7,93.78,90.72,96.84,Delta
